,file path,Instrument,Dastgah,Sample rates,Audios,Chroma stft,Spectral bandwidth,Spectral rolloff,Mel Spectogram,rms,Zero crossing rate,Chroma Cens_0,Chroma Cens_1,Chroma Cens_2,Chroma Cens_3,Chroma Cens_4,Chroma Cens_5,Chroma Cens_6,Chroma Cens_7,Chroma Cens_8,Chroma Cens_9,Chroma Cens_10,Chroma Cens_11,Chroma Cens_12,Chroma Cens_13,Chroma Cens_14,Chroma Cens_15,Chroma Cens_16,Chroma Cens_17,Chroma Cens_18,Chroma Cens_19,Chroma CQT_0,Chroma CQT_1,Chroma CQT_2,Chroma CQT_3,Chroma CQT_4,Chroma CQT_5,Chroma CQT_6,Chroma CQT_7,Chroma CQT_8,Chroma CQT_9,Chroma CQT_10,Chroma CQT_11,Chroma CQT_12,Chroma CQT_13,Chroma CQT_14,Chroma CQT_15,Chroma CQT_16,Chroma CQT_17,Chroma CQT_18,Chroma CQT_19,Tonnetz_0,Tonnetz_1,Tonnetz_2,Tonnetz_3,Tonnetz_4,Tonnetz_5,MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,MFCC_21,MFCC_22,MFCC_23
400,/content/drive/MyDrive/Final Project/D_3/I_0/Ali_Ghanbari_tar_homayoon.mp3,0.0,3.0,22050,"[-0.11595125 -0.12997766 -0.06645773 ...  0.          0.
  0.        ]",0.17037563,2083.6781989297,2857.415205792683,4.3379226,0.11732071,0.07366086551490515,0.40557285795058284,0.1994372745167202,0.1451002469307984,0.20814497880151256,0.12916428169293592,0.12694838393744654,0.13517815019857177,0.26498020994699417,0.20603001193778409,0.2260883156816936,0.017675182646340888,0.01934524093355521,0.2910934706057027,0.04342099323007587,0.063361313961035,0.06638225550114478,0.03607250650811077,0.06998896360303711,0.01437775310971816,0.03566310765759594,0.5817485,0.32647458,0.28154412,0.37001213,0.26833403,0.26814622,0.27998257,0.41786242,0.34208423,0.38147372,0.121193014,0.13850063,0.44623432,0.16763285,0.2018066,0.18906777,0.15040568,0.17654368,0.12513801,0.16702524,0.01733640557684247,0.18321598300193487,-0.07512226670634724,0.13183614174118538,0.0028290790229970604,0.003749091407933461,-208.57117,109.23074,-14.711223,-2.2324846,-28.529364,-12.42488,-19.849617,-4.740323,-15.014712,-2.237267,-16.11432,-3.889064,-10.666186,-12.985421,-14.199615,-2.030967,-1.007514,3.0463982,-0.45068577,-5.5810966,-3.6760445,9.6855545,7.699876,8.392956
401,/content/drive/MyDrive/Final Project/D_3/I_0/Hossein_Alizadeh-Tarz.mp3,0.0,3.0,22050,[0.03934206 0.03767461 0.00554454 ... 0.         0.         0.        ],0.178406,2083.6781989297,4140.392409181556,2.4298992,0.084043734,0.07942049996583767,0.0137166911882506,0.18354582161499447,0.2411719133436017,0.07318569767551467,0.14460898869140548,0.03987949245522789,0.03610562476194456,0.03901284266319188,0.1260833169391994,0.09600762559684826,0.34141364975165245,0.12389545432118625,0.24193469330401982,0.20790792241608433,0.028861069602458655,0.025288028861296753,0.12619999897063364,0.13641371383767817,0.2684048118108713,0.12868049765702558,0.13623136,0.3238018,0.38649595,0.21533473,0.2866233,0.18413413,0.17633829,0.16986766,0.26769724,0.24698834,0.49717453,0.2647032,0.41473424,0.3436569,0.1751731,0.15606414,0.26557684,0.27876312,0.43918523,0.25476706,-0.07384840954476612,-0.17913983316515467,0.05425226444736825,-0.12774880727172494,0.005535035613266754,-0.04890396311014328,-220.83203,101.22905,7.182733,-6.7847776,-31.52419,-0.94442517,-19.643597,-7.988331,-18.190588,-6.6717224,-24.485964,-8.727472,-7.5047793,-3.872488,0.61563164,0.031259943,-6.232997,-4.5988526,-6.7777762,6.2435904,-14.293997,2.9926631,0.16129996,7.4197245
402,/content/drive/MyDrive/Final Project/D_3/I_0/Farhang_sharif.mp3,0.0,3.0,22050,"[-0.04911175 -0.09431394 -0.1059323  ...  0.10443777  0.09497535
  0.        ]",0.1769157,2083.6781989297,2337.699089770047,12.100187,0.19605269,0.0661651364555256,0.25950175476269577,0.11405873140831357,0.09589443448282874,0.2063027437861879,0.32994747075114816,0.02796930431308594,0.07088815633867888,0.15766448306417052,0.17221697436632646,0.1383820667907865,0.045534726093004595,0.05042391864081981,0.2095852569869238,0.06831795286977368,0.07329308347835128,0.2029645249758928,0.12450876323042673,0.048783634619849435,0.07382945170229552,0.17504555810153122,0.45486665,0.2980167,0.28624314,0.39177713,0.54045475,0.22796579,0.25940925,0.34816563,0.36118382,0.31779575,0.23680313,0.24522452,0.40897053,0.25730053,0.2693408,0.39431283,0.31513217,0.23986769,0.26303095,0.36482498,0.08418028174710353,0.13628511049456582,-0.017451773343904364,0.002187911990647875,-0.03891739832169593,0.006947762573469254,-153.16277,139.82133,-23.905092,9.616957,-25.282331,-4.823247,-16.325546,-9.42515,-17.745348,-8.043549,-8.358603,1.8842684,-4.8851466,-0.40798768,-2.1721165,-0.58682525,-3.0962334,1.7331364,-1.4208928,-2.350948,-5.455367,0.6153223,0.9074292,4.5066886
403,/content/drive/MyDrive/Final Project/D_3/I_0/ferdoun_hafezi_tar_houmayoon.mp3,0.0,3.0,22050,"[1.3932537e-02 2.1618601e-02 1.9472340e-02 ... 8.0659498e-05 1.4878895e-04
 0.0000000e+00]",0.2248668,2083.6781989297,1896.6181830967448,0.17766201,0.022798127,0.055728567440443966,0.32848375581936656,0.11887772975520387,0.14604443783491403,0.03578824321131362,0.04395758251566063,0.11351129160755868,0.18072074590827442,0.19498680053709738,0.3474439521350625,0.10819735933832429,0.02355197210743377,0.12421174282034475,0.24604637000952745,0.1477269127858341,0.05069152222188987,0.048617891151314103,0.0730098850115415,0.09368770604750758,0.08686750933941625,0.13922647085153092,0.5039885,0.25769994,0.2944312,0.18827409,0.20717077,0.2643875,0.3522266,0.33975202,0.50922066,0.2708352,0.17093258,0.27408072,0.40138,0.31129873,0.2090724,0.20647879,0.21088198,0.24352308,0.24263042,0.30161116,-0.03538469381213366,0.14538739092772532,-0.04131995906405966,0.17697660336533075,0.007607468970436487,-0.023536279834552244,-392.43652,168.96942,-37.355278,6.761058,0.8918005,-1.2006493,-0.5889763,-7.62139,0.10770792,3.824419,-4.998536,-8.53009,-3.3874726,-9.975939,-10.917504,-6.981301,-7.7907667,-8.003533,-11.527172,-9.350171,-7.4180074,-2.7257035,-0.4006218,-7.937691
404,/content/drive/MyDrive/Final Project/D_3/I_0/07. Suite de Homayun - Pishdaramad.mp3,0.0,3.0,22050,"[-0.01254188 -0.0229547  -0.02514763 ...  0.          0.
  0.        ]",0.18813787,2083.6781989297,2809.4656164022936,3.8867664,0.11761335,0.06047124561745228,0.3289267472391188,0.2963231833179661,0.02556116842216204,0.05643367758900694,0.045159737108273965,0.0038938731789166505,0.016648325318505332,0.060797445549822776,0.0551175882601671,0.11309767360152533,0.040496965623124145,0.04184083590890708,0.12844484699746542,0.24488219017130283,0.06256324401123854,0.04804847987687522,0.060752266184905555,0.11892755949688123,0.2788181416211325,0.5641323322509565,0.506129,0.48391762,0.20997037,0.24337162,0.20845264,0.15297018,0.17766118,0.23673931,0.2148804,0.29509526,0.21893752,0.2286197,0.3043239,0.44469905,0.23694748,0.22970669,0.25664023,0.29859084,0.45995447,0.83356905,-0.0015682655217888438,-0.02566497834158212,0.07467623434947733,0.1728280044294293,-0.06269506987340809,-0.004282919040019177,-198.76973,128.59409,2.1781702,34.90862,-31.891325,5.4651394,-15.705477,-2.2130058,0.305934,-6.6131573,-5.61793,-4.039813,-8.18589,-1.9227057,-7.3352976,8.004584,4.0610375,10.762305,-1.3245977,-3.9453058,-2.5005875,6.2096415,3.553212,11.57996
405,"/content/drive/MyDrive/Final Project/D_3/I_0/Y2Mate.is - یاد؛ تکنوازی زیبای همایون، پانیذ مجاهدنیا  Memory, Amazing Persian Tar Solo Performance-HG4sfcvQe5g-160k-1658234304894.mp3",0.0,3.0,22050,[0.01036686 0.04257429 0.07168578 ... 0.         0.         0.        ],0.16750497,2083.6781989297,2890.7881285954563,10.534488,0.18054022,0.07148026155421217,0.3538099477102257,0.01904309270268914,0.00581726950950454,0.14369281067694079,0.03923916405284024,0.025874627623166408,0.1232747855957635,0.15711779364568307,0.20238113533141747,0.10762176504909832,0.06572093085425317,0.16671350468353785,0.331306061276622,0.1356859813192918,0.32456642117827045,0.07478145028517996,0.018759588806729385,0.027703655099586957,0.1197595658469362,0.11867255731603048,0.5132172,0.12642583,0.10229941,0.27043697,0.16669369,0.15196663,0.25158405,0.29950917,0.3334734,0.24719718,0.20217781,0.290234,0.46133494,0.24613963,0.47900546,0.18484683,0.13253586,0.13324499,0.24902116,0.23576461,0.11008175830122591,0.17427529570561154,0.0734616704079568,0.19663121678263984,-0.030973712954951115,0.001979214872352901,-168.43018,100.381836,-16.10429,3.5531836,-32.13447,-8.62809,-27.173298,-12.491687,-16.015348,-12.333561,-22.478544,-14.992213,-8.276926,-0.99800134,-9.566958,7.116455,0.3774458,4.0504947,-5.4306746,1.6159505,-11.810401,-5.2649727,7.7919517,7.9802356
406,/content/drive/MyDrive/Final Project/D_3/I_0/30.mp3,0.0,3.0,22050,"[-0.02883356 -0.04343098 -0.03823932 ...  0.          0.
  0.        ]",0.20424227,2083.6781989297,2335.13743757253,0.7624777,0.049466427,0.057979929216796136,0.24994159447442127,0.25154601102902274,0.40933740733500923,0.34395060744239603,0.30195923900580407,0.0884064145203911,0.07529036512775171,0.08676593970342894,0.13712866942900587,0.08647062511162541,0.050407652523148966,0.09724603455694343,0.17867197950956268,0.06699380754310771,0.15342944691246196,0.02113829599416151,0.0037695367340615663,0.008065425889716678,0.08081940922814225,0.12693976679394814,0.48089486,0.47964773,0.6662337,0.5850835,0.5417558,0.33026975,0.3262359,0.33315372,0.38713828,0.3260574,0.27187893,0.32900515,0.42313778,0.2979353,0.39307678,0.26122242,0.20235203,0.18843913,0.28919333,0.3594511,0.044435600691751946,0.04065218209123639,-0.0414683029944602,0.0024470720846194965,-0.011711961172307524,-0.036974030976795476,-302.90976,131.26091,20.75705,21.399796,-18.579386,3.5463614,-11.155307,-3.7761385,-6.371094,-7.732656,-10.84497,-4.772132,-3.0066986,-1.675816,-5.777051,-7.215238,-3.4844654,5.8666253,7.051194,8.7231455,1.2050636,1.8758186,5.154949,3.7691808
407,/content/drive/MyDrive/Final Project/D_3/I_0/Kereshmeh-Roohafza.mp3,0.0,3.0,22050,"[ 5.1805813e-02  8.2474343e-02  8.0839895e-02 ...  1.2042074e-05
 -4.9656187e-04 -7.4809784e-04]",0.12953934,2083.6781989297,2338.060364961107,0.9280516,0.054237492,0.06942239293824566,0.06170203406631449,0.0826801628583937,0.009153497675080733,0.0049799650818037645,0.08330834570961275,0.019789085832371357,0.06094895850517462,0.14592611820972062,0.14295239875288193,0.1893358780792291,0.07979554496528415,0.09616502533225803,0.23052355053512494,0.5268484295383042,0.19866327753930824,0.2401633923677143,0.07705894687228933,0.010565337088706139,0.04012734562549798,0.10055279541765479,0.10082848,0.14023958,0.05878538,0.06290593,0.16044432,0.09500301,0.16090049,0.21950653,0.20806375,0.27949017,0.16228847,0.17564674,0.2754667,0.62523276,0.24110393,0.34319118,0.14845464,0.08781108,0.09907531,0.16423804,-0.0619489319996896,-0.03831074100288984,-0.05908505824822853,0.2533619076594466,-0.0756255160259661,-0.013964230098683956,-325.3108,114.76684,-40.61235,-3.2974613,-36.269188,-25.81658,-39.10402,-20.670023,-6.481406,-15.711103,-23.47283,-16.561771,-11.905152,-14.73704,2.7540686,12.723505,13.808709,14.4450245,10.085624,2.252794,-4.8725963,3.6383946,9.308814,-0.5359221
408,/content/drive/MyDrive/Final Project/D_3/I_0/Abolchap-Roohafza.mp3,0.0,3.0,22050,"[-2.8676933e-02 -3.4760203e-02 -1.9349765e-02 ... -9.2037367e-03
 -8.1245700e-05  2.4639362e-02]",0.17050363,2083.6781989297,2642.3045161732457,0.9981988,0.05738099,0.08230232699805068,0.2104864335176372,0.3827468723436641,0.06524109976069835,0.046600200499061384,0.20308792507378395,0.11709427382183155,0.14325804998799,0.2382499979050408,0.15509474131105255,0.0366093650589805,0.03996209907760004,0.12165232305479459,0.10939208145002072,0.20856070799905993,0.04863616733683213,0.10799566790436976,0.054178098785542646,0.14555337321146408,0.07396980382289872,0.17483565940516027,0.28543836,0.5472857,0.18315633,0.1559367,0.33468544,0.23214273,0.2680646,0.34533826,0.2753987,0.15330218,0.16363719,0.2417353,0.21726689,0.3183053,0.11450105,0.19909087,0.16177398,0.25109586,0.19373123,0.27161685,-0.07458394140108272,0.0008726798104827578,-0.048016745748260314,0.14782850196517847,0.04172456460006957,-0.001941146024595355,-281.38284,104.77196,-51.316723,3.164843,-33.802143,-16.357569,-30.86111,-35.777813,-26.243086,-22.927538,-19.818632,-9.341564,-5.873191,-9.911605,1.6010321,3.8029156,0.86036015,-7.0128336,-7.046885,-4.1546516,1.9357762,5.590944,2.0000775,5.5860353
409,/content/drive/MyDrive/Final Project/D_3/I_0/Nafir-Roohafza.mp3,0.0,3.0,22050,"[-4.5650277e-02 -8.4069706e-02 -9.1379203e-02 ... -6.1455037e-05
 -5.9454112e-05 -2.5778290e-04]",0.1553478,2083.6781989297,2634.7657448236196,1.0920067,0.057355948,0.07752258675230062,0.07712923092956998,0.08455986852568476,0.013203964880403067,0.09337057525870658,0.2614508442162257,0.19050699127654233,0.241403514562466,0.1749804922678729,0.13506391122402323,0.20948883834251625,0.15972308878301864,0.0945983812056866,0.3012363519139216,0.2738695016076669,0.05912814119635458,0.02070960053690203,0.07056984105387298,0.04396688424059004,0.04588682915936042,0.036100462237447846,0.17719696,0.1944121,0.106600724,0.19897634,0.3689547,0.31294993,0.36387068,0.28171575,0.23268312,0.34270194,0.25918168,0.19534011,0.403268,0.40355232,0.1415551,0.10174754,0.16519214,0.120741785,0.13443992,0.12975994,-0.04543116965814844,0.05361665198308859,0.12706226662895428,0.04945680031551444,-0.023945041627321008,-0.009908960999237423,-318.05667,102.0229,-44.17708,1.7785882,-36.46821,-10.206751,-28.603907,-22.457668,-17.911148,-24.026157,-24.230738,-10.254361,-10.562603,-20.775496,-4.6211095,2.0048172,9.661212,5.956321,4.470015,5.0899935,3.3218079,8.630694,10.65214,11.061467
